thread_name,categories,replies,views,total_likes,creation_date,first_reply_date,last_reply_date,thread_url,frequent_posters,thread_author,thread_likes,thread_text,thread_images,thread_edits,latest_thread_edit_date,reply_author,reply_likes,reply_text,reply_images,reply_date,crawl_date
W-9 form for non usa person?,"Fiverr Tips
Tips for Sellers",8,50,2,"Aug 18, 2020 5:50 pm","Aug 18, 2020 5:52 pm","Aug 18, 2020 7:22 pm",https://forum.fiverr.com/t/w-9-form-for-non-usa-person/502969,"faiziee, jonbaas, english_voice, misscrystal, salimrezza, imagination7413",faiziee,,"Hi Everyone,
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
and check this within the next 30 days to keep your Gigs active.
however I’m not USA person and confirm that I provide services outside USA. ( file attached )
Now can any one let me know is there any next step which is required for the verification of non usa person ?
Looking forward for guidance

Best Regrads
Faizan Muhammad",https://aws1.discourse-cdn.com/fiverr/original/4X/1/4/e/14e9157cd3ed6441c008d5102e25a5738578a857.png,1.0,"Aug 18, 2020 7:44 pm",english_voice,0.0,This is only for US sellers. All you need to do is select ‘No’.,,"Aug 18, 2020 5:52 pm",2020-08-18 19:57:24.194336
W-9 form for non usa person?,"Fiverr Tips
Tips for Sellers",8,50,2,"Aug 18, 2020 5:50 pm","Aug 18, 2020 5:52 pm","Aug 18, 2020 7:22 pm",https://forum.fiverr.com/t/w-9-form-for-non-usa-person/502969,"faiziee, jonbaas, english_voice, misscrystal, salimrezza, imagination7413",faiziee,,"Hi Everyone,
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
and check this within the next 30 days to keep your Gigs active.
however I’m not USA person and confirm that I provide services outside USA. ( file attached )
Now can any one let me know is there any next step which is required for the verification of non usa person ?
Looking forward for guidance

Best Regrads
Faizan Muhammad",https://aws1.discourse-cdn.com/fiverr/original/4X/1/4/e/14e9157cd3ed6441c008d5102e25a5738578a857.png,1.0,"Aug 18, 2020 7:44 pm",jonbaas,1.0,"faiziee:
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
Do you really have to start a new topic for this? There’s already a topic – with the answers to your questions, located here:
W-9 US Verification Requirement
News
Hi Everyone, In the next few day, some of you will see that we (Fiverr) will be asking sellers who are defined as a US Person* to complete a W-9 form regarding their activity on Fiverr. You will receive a notification on the Fiverr website and an email message asking you to check your status within 30 days, in a form of a short questionnaire. If in fact you are classified as a US Person*, you will undergo a short process in which you will fill in Form W-9 that contains standard business infor…
This new topic is unnecessary.",,"Aug 18, 2020 5:54 pm",2020-08-18 19:57:24.542780
W-9 form for non usa person?,"Fiverr Tips
Tips for Sellers",8,50,2,"Aug 18, 2020 5:50 pm","Aug 18, 2020 5:52 pm","Aug 18, 2020 7:22 pm",https://forum.fiverr.com/t/w-9-form-for-non-usa-person/502969,"faiziee, jonbaas, english_voice, misscrystal, salimrezza, imagination7413",faiziee,,"Hi Everyone,
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
and check this within the next 30 days to keep your Gigs active.
however I’m not USA person and confirm that I provide services outside USA. ( file attached )
Now can any one let me know is there any next step which is required for the verification of non usa person ?
Looking forward for guidance

Best Regrads
Faizan Muhammad",https://aws1.discourse-cdn.com/fiverr/original/4X/1/4/e/14e9157cd3ed6441c008d5102e25a5738578a857.png,1.0,"Aug 18, 2020 7:44 pm",faiziee,0.0,I think i missed out this topic !!! however let me check this topic thoroughly,,"Aug 18, 2020 5:57 pm",2020-08-18 19:57:24.906619
W-9 form for non usa person?,"Fiverr Tips
Tips for Sellers",8,50,2,"Aug 18, 2020 5:50 pm","Aug 18, 2020 5:52 pm","Aug 18, 2020 7:22 pm",https://forum.fiverr.com/t/w-9-form-for-non-usa-person/502969,"faiziee, jonbaas, english_voice, misscrystal, salimrezza, imagination7413",faiziee,,"Hi Everyone,
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
and check this within the next 30 days to keep your Gigs active.
however I’m not USA person and confirm that I provide services outside USA. ( file attached )
Now can any one let me know is there any next step which is required for the verification of non usa person ?
Looking forward for guidance

Best Regrads
Faizan Muhammad",https://aws1.discourse-cdn.com/fiverr/original/4X/1/4/e/14e9157cd3ed6441c008d5102e25a5738578a857.png,1.0,"Aug 18, 2020 7:44 pm",faiziee,0.0,I already selected that option !!! when ever i click on the W-9 form option from settings No is already selected. There is no save option which ensure us that you selected option is saved now !! Secondly will fiverr notify us that we are done with this process & how long it will take to notify us ? share your thoughts i would be thankful to you @english_voice,,"Aug 18, 2020 6:06 pm",2020-08-18 19:57:25.283835
W-9 form for non usa person?,"Fiverr Tips
Tips for Sellers",8,50,2,"Aug 18, 2020 5:50 pm","Aug 18, 2020 5:52 pm","Aug 18, 2020 7:22 pm",https://forum.fiverr.com/t/w-9-form-for-non-usa-person/502969,"faiziee, jonbaas, english_voice, misscrystal, salimrezza, imagination7413",faiziee,,"Hi Everyone,
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
and check this within the next 30 days to keep your Gigs active.
however I’m not USA person and confirm that I provide services outside USA. ( file attached )
Now can any one let me know is there any next step which is required for the verification of non usa person ?
Looking forward for guidance

Best Regrads
Faizan Muhammad",https://aws1.discourse-cdn.com/fiverr/original/4X/1/4/e/14e9157cd3ed6441c008d5102e25a5738578a857.png,1.0,"Aug 18, 2020 7:44 pm",jonbaas,0.0,"If you selected “no”, then you are done with the process.
If you are not a USA citizen, then you don’t need to fill out a W-9 form. It’s as simple as that.",,"Aug 18, 2020 6:22 pm",2020-08-18 19:57:25.623278
W-9 form for non usa person?,"Fiverr Tips
Tips for Sellers",8,50,2,"Aug 18, 2020 5:50 pm","Aug 18, 2020 5:52 pm","Aug 18, 2020 7:22 pm",https://forum.fiverr.com/t/w-9-form-for-non-usa-person/502969,"faiziee, jonbaas, english_voice, misscrystal, salimrezza, imagination7413",faiziee,,"Hi Everyone,
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
and check this within the next 30 days to keep your Gigs active.
however I’m not USA person and confirm that I provide services outside USA. ( file attached )
Now can any one let me know is there any next step which is required for the verification of non usa person ?
Looking forward for guidance

Best Regrads
Faizan Muhammad",https://aws1.discourse-cdn.com/fiverr/original/4X/1/4/e/14e9157cd3ed6441c008d5102e25a5738578a857.png,1.0,"Aug 18, 2020 7:44 pm",salimrezza,0.0,I am from BANGLADESH,,"Aug 18, 2020 6:26 pm",2020-08-18 19:57:26.010192
W-9 form for non usa person?,"Fiverr Tips
Tips for Sellers",8,50,2,"Aug 18, 2020 5:50 pm","Aug 18, 2020 5:52 pm","Aug 18, 2020 7:22 pm",https://forum.fiverr.com/t/w-9-form-for-non-usa-person/502969,"faiziee, jonbaas, english_voice, misscrystal, salimrezza, imagination7413",faiziee,,"Hi Everyone,
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
and check this within the next 30 days to keep your Gigs active.
however I’m not USA person and confirm that I provide services outside USA. ( file attached )
Now can any one let me know is there any next step which is required for the verification of non usa person ?
Looking forward for guidance

Best Regrads
Faizan Muhammad",https://aws1.discourse-cdn.com/fiverr/original/4X/1/4/e/14e9157cd3ed6441c008d5102e25a5738578a857.png,1.0,"Aug 18, 2020 7:44 pm","imagination7413
Regular",0.0,"@moderators
Thread should probably be locked (or merged into W-9 US Verification Requirement 1)",,"Aug 18, 2020 7:20 pm",2020-08-18 19:57:26.372975
W-9 form for non usa person?,"Fiverr Tips
Tips for Sellers",8,50,2,"Aug 18, 2020 5:50 pm","Aug 18, 2020 5:52 pm","Aug 18, 2020 7:22 pm",https://forum.fiverr.com/t/w-9-form-for-non-usa-person/502969,"faiziee, jonbaas, english_voice, misscrystal, salimrezza, imagination7413",faiziee,,"Hi Everyone,
I’m from Pakistan and I received email from fiverr couple of days a go that
You are required to fill it out * if you’re defined as a U.S. person by the U.S. tax authorities.
and check this within the next 30 days to keep your Gigs active.
however I’m not USA person and confirm that I provide services outside USA. ( file attached )
Now can any one let me know is there any next step which is required for the verification of non usa person ?
Looking forward for guidance

Best Regrads
Faizan Muhammad",https://aws1.discourse-cdn.com/fiverr/original/4X/1/4/e/14e9157cd3ed6441c008d5102e25a5738578a857.png,1.0,"Aug 18, 2020 7:44 pm",misscrystal,1.0,"If you are in Bangladesh or Pakistan select No. That’s all you need to do.
No other steps are needed.",,"Aug 18, 2020 7:22 pm",2020-08-18 19:57:26.765557
